,dep_stop_id,weight,arr_stop_id
0,8503086,387,176
1,8591392,566,176
2,8590616,147,8500926
3,8590737,360,8500926
4,8503016,147,8502075
5,8573205,115,8502075
6,8573205,115,8502075
7,8580301,278,8502075
8,8502270,552,8502186
9,8590200,582,8502186
10,8590203,550,8502186
11,8502270,542,8502186
12,8590200,581,8502186
13,8590203,546,8502186
14,8502268,482,8502188
15,8502274,449,8502188
16,8517377,486,8502188
17,8517377,486,8502188
18,8572568,553,8502188
19,8580847,503,8502188
20,8502268,485,8502188
21,8502274,442,8502188
22,8517377,482,8502188
23,8517377,483,8502188
24,8572568,555,8502188
25,8580847,500,8502188
26,8502268,485,8502188
27,8502274,442,8502188
28,8517377,482,8502188
29,8517377,483,8502188
30,8572568,555,8502188
31,8580847,500,8502188
32,8573553,368,8502208
33,8573554,34,8502208
34,8573555,335,8502208
35,8579192,587,8502208
36,8589111,351,8502208
37,8590655,262,8502208
38,8594182,570,8502208
39,8503203,399,8502209
40,8503673,463,8502209
41,8579186,384,8502209
42,8590734,37,8502209
43,8590735,454,8502209
44,8590736,514,8502209
45,8590792,550,8502220
46,8590800,506,8502220
47,8502950,467,8502221
48,8573718,130,8502221
49,8573718,130,8502221
50,8583870,59,8502221
51,8583870,60,8502221
52,8583870,60,8502221
53,8583870,59,8502221
54,8573726,59,8502222
55,8573726,59,8502222
56,8573730,443,8502222
57,8582721,595,8502223
58,8582722,240,8502223
59,8573178,34,8502224
60,8573178,34,8502224
61,8573178,34,8502224
62,8590834,121,8502229
63,8590849,435,8502229
64,8502188,482,8502268
65,8502188,485,8502268
66,8502188,485,8502268
67,8502186,552,8502270
68,8502186,542,8502270
69,8590220,472,8502270
70,8517377,458,8502273
71,8517377,457,8502273
72,8572747,36,8502273
73,8580847,443,8502273
74,8582462,550,8502273
75,8582529,338,8502273
76,8517377,457,8502273
77,8517377,456,8502273
78,8572747,45,8502273
79,8580847,443,8502273
80,8582462,542,8502273
81,8582529,334,8502273
82,8502188,449,8502274
83,8502188,442,8502274
84,8502188,442,8502274
85,8517377,430,8502274
86,8517377,430,8502274
87,8576164,331,8502274
88,8580847,456,8502274
89,8582529,420,8502274
90,8572560,38,8502276
91,8580728,515,8502276
92,8580729,354,8502276
93,8572560,51,8502276
94,8580728,491,8502276
95,8580729,326,8502276
96,8503309,484,8502471
97,8573214,380,8502471
98,8580432,441,8502471
99,8588739,536,8502471
100,8588740,567,8502471
101,8503009,94,8502495
102,8503681,465,8502495
103,8591080,117,8502495
104,8591081,149,8502495
105,8591082,462,8502495
106,8591216,463,8502495
107,8591241,390,8502495
108,8591304,488,8502495
109,8591392,570,8502495
110,8590268,419,8502508
111,8590270,442,8502508
112,8510050,448,8502553
113,8572646,317,8502553
114,8503055,387,8502559
115,8503709,132,8502559
116,8574684,448,8502559
117,8574739,461,8502559
118,8575014,311,8502559
119,8591075,481,8502572
120,8591195,450,8502572
121,8591341,484,8502572
122,8591390,389,8502572
123,8591447,245,8502572
124,8502953,562,8502574
125,8580268,396,8502574
126,8582763,264,8502574
127,8580728,289,8502575
128,8580729,458,8502575
129,8572561,146,8502750
130,8573158,322,8502762
131,8573733,588,8502771
132,8583047,580,8502771
133,8573162,534,8502776
134,8573163,374,8502776
135,8572605,531,8502779
136,8582790,190,8502779
137,8583755,536,8502876
138,8570706,432,8502879
139,8572603,463,8502879
140,8573729,357,8502885
141,8583805,456,8502885
142,8581346,454,8502894
143,8502221,467,8502950
144,8573718,427,8502950
145,8573718,427,8502950
146,8573719,419,8502950
147,8583870,432,8502950
148,8583870,432,8502950
149,8583870,432,8502950
150,8583870,432,8502950
151,8502574,562,8502953
152,8580268,269,8502953
